[2025-09-28 14:25:04] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:40] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:40] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:41] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:46] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:46] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:46] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:47] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:52] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:52] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:52] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 14:57:53] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:46] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:46] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:46] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:47] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:52] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:52] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:52] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:53] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:58] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:58] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:58] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:00:59] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:51] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:51] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:51] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:51] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:57] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:57] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:57] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:01:57] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:04:12] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:04:13] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:04:13] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:04:14] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:04:55] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:04:56] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:05:16] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:05:17] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:05:17] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:48] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:49] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:49] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:49] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:54] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:55] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:55] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:06:55] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:03] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:03] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:03] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:03] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:09] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:09] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:09] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:09] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:15] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:15] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:15] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:26] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:27] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:08:27] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:16:55] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:16:55] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:16:56] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:16:56] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:24:58] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:24:58] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:24:58] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:24:59] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:04] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:04] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:04] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:05] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:10] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:10] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:10] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:10] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:15] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:16] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:16] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:16] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:55] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:55] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:55] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:25:55] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:01] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:01] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:01] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:01] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:27] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:27] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:28] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:28] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:33] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:33] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:33] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:34] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:39] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:39] WLAN 2: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:39] VMware Network Adapter VMnet1: Sent 0 bytes, Received 0 bytes
[2025-09-28 15:26:39] VMware Network Adapter VMnet8: Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60186, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 60186 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60188, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 60188 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60187, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 60187 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 4.249.131.160:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 104.18.38.233:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:29:36] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 185.199.108.133:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 180.163.203.14:8099, Process: msedge.exe (PID: 11028)
[SECURITY WARNING] Uncommon port 8099 used by msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 180.163.203.14:8099, Process: msedge.exe (PID: 11028)
[SECURITY WARNING] Uncommon port 8099 used by msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 20.189.173.11:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 44.197.221.236:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 44.197.221.236:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 20.189.172.32:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:41:21] vEthernet (Default Switch): Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[2025-09-28 15:41:27] WLAN 2: Sent 0 bytes, Received 0 bytes
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56061, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56061 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:54530, Process: SangforPromoteService.exe (PID: 6892)
[SECURITY WARNING] Uncommon port 54530 used by SangforPromoteService.exe (PID: 6892)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56063, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56063 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:56062, Process: ECAgent.exe (PID: 12896)
[SECURITY WARNING] Uncommon port 56062 used by ECAgent.exe (PID: 12896)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60734, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60734 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:60733, Process: vmware-authd.exe (PID: 6964)
[SECURITY WARNING] Uncommon port 60733 used by vmware-authd.exe (PID: 6964)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65234, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65234 used by mysqld.exe (PID: 8324)
[CONNECTION] 127.0.0.1 -> 127.0.0.1:65233, Process: mysqld.exe (PID: 8324)
[SECURITY WARNING] Uncommon port 65233 used by mysqld.exe (PID: 8324)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: svchost.exe (PID: 6952)
[CONNECTION] 192.168.6.152 -> 4.145.79.82:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 192.168.6.237:22, Process: Termius.exe (PID: 1956)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 4.145.79.81:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10399, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10399 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:10397, Process: vmnat.exe (PID: 6980)
[SECURITY WARNING] Uncommon port 10397 used by vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 150.60.156.189:80, Process: vmnat.exe (PID: 6980)
[CONNECTION] 192.168.6.152 -> 183.60.8.74:80, Process: Weixin.exe (PID: 16692)
[CONNECTION] 192.168.6.152 -> 140.82.113.21:443, Process: Code.exe (PID: 18344)
[CONNECTION] 192.168.6.152 -> 140.82.114.26:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 20.205.243.168:443, Process: msedge.exe (PID: 11028)
[CONNECTION] 192.168.6.152 -> 52.84.20.103:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 52.8.31.44:443, Process: Termius.exe (PID: 10892)
[CONNECTION] 192.168.6.152 -> 4.145.79.80:443, Process: vmnat.exe (PID: 6980)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
[CONNECTION] [ -> [:, Process: vmware.exe (PID: 20320)
[SECURITY WARNING] Uncommon port  used by vmware.exe (PID: 20320)
